implementation,size,threads,time
python_seq,8,1,0.0170
python_seq,8,1,0.0181
python_seq,8,1,0.0185
python_seq,8,1,0.0170
python_seq,8,1,0.0182
python_seq,8,1,0.0171
python_seq,8,1,0.0180
python_seq,8,1,0.0180
python_seq,8,1,0.0180
python_seq,8,1,0.0180
python_par,8,2,0.1021
python_par,8,2,0.1044
python_par,8,2,0.1010
python_par,8,2,0.1000
python_par,8,2,0.1000
python_par,8,4,0.1040
python_par,8,4,0.1030
python_par,8,4,0.1050
python_par,8,4,0.1030
python_par,8,4,0.1050
python_par,8,8,0.1220
python_par,8,8,0.1250
python_par,8,8,0.1256
python_par,8,8,0.1260
python_par,8,8,0.1230
python_par,8,16,0.1620
python_par,8,16,0.1570
python_par,8,16,0.1660
python_par,8,16,0.1630
python_par,8,16,0.1640
python_seq,9,1,0.1748
python_seq,9,1,0.1630
python_seq,9,1,0.1685
python_seq,9,1,0.1590
python_seq,9,1,0.1630
python_seq,9,1,0.1550
python_seq,9,1,0.1618
python_seq,9,1,0.1570
python_seq,9,1,0.1660
python_seq,9,1,0.1670
python_par,9,2,0.1850
python_par,9,2,0.1903
python_par,9,2,0.1876
python_par,9,2,0.1860
python_par,9,2,0.1860
python_par,9,4,0.1590
python_par,9,4,0.1560
python_par,9,4,0.1610
python_par,9,4,0.1596
python_par,9,4,0.1580
python_par,9,8,0.1670
python_par,9,8,0.1602
python_par,9,8,0.1620
python_par,9,8,0.1690
python_par,9,8,0.1670
python_par,9,16,0.2455
python_par,9,16,0.2480
python_par,9,16,0.2230
python_par,9,16,0.2365
python_par,9,16,0.2327
python_seq,10,1,1.7834
python_seq,10,1,1.6864
python_seq,10,1,1.6960
python_seq,10,1,1.6402
python_seq,10,1,1.6769
python_seq,10,1,1.6061
python_seq,10,1,1.6414
python_seq,10,1,1.6184
python_seq,10,1,1.6325
python_seq,10,1,1.6398
python_par,10,2,1.1576
python_par,10,2,1.1509
python_par,10,2,1.1655
python_par,10,2,1.1466
python_par,10,2,1.1224
python_par,10,4,0.7310
python_par,10,4,0.7311
python_par,10,4,0.7570
python_par,10,4,0.7738
python_par,10,4,0.7512
python_par,10,8,0.6104
python_par,10,8,0.6171
python_par,10,8,0.6650
python_par,10,8,0.6890
python_par,10,8,0.6258
python_par,10,16,0.5937
python_par,10,16,0.6580
python_par,10,16,0.6694
python_par,10,16,0.6270
python_par,10,16,0.6270
python_seq,11,1,22.1477
python_seq,11,1,18.6397
python_seq,11,1,18.5977
python_seq,11,1,18.7288
python_seq,11,1,17.9736
python_seq,11,1,18.1208
python_seq,11,1,17.7918
python_seq,11,1,17.7453
python_seq,11,1,17.5598
python_seq,11,1,19.0664
python_par,11,2,10.1267
python_par,11,2,10.5590
python_par,11,2,10.2523
python_par,11,2,10.0403
python_par,11,2,10.2006
python_par,11,4,5.5945
python_par,11,4,5.8191
python_par,11,4,5.7030
python_par,11,4,5.6669
python_par,11,4,5.6499
python_par,11,8,4.1990
python_par,11,8,4.2045
python_par,11,8,4.2107
python_par,11,8,4.3731
python_par,11,8,4.1942
python_par,11,16,3.0163
python_par,11,16,3.0140
python_par,11,16,3.0449
python_par,11,16,3.0591
python_par,11,16,3.0434
