implementation,size,threads,time
rust_seq,8,1,0.0039
rust_seq,8,1,0.0040
rust_seq,8,1,0.0049
rust_seq,8,1,0.0039
rust_seq,8,1,0.0040
rust_seq,8,1,0.0040
rust_seq,8,1,0.0039
rust_seq,8,1,0.0039
rust_seq,8,1,0.0043
rust_seq,8,1,0.0038
rust_par,8,2,0.0021
rust_par,8,2,0.0022
rust_par,8,2,0.0021
rust_par,8,2,0.0025
rust_par,8,2,0.0021
rust_par,8,4,0.0020
rust_par,8,4,0.0013
rust_par,8,4,0.0015
rust_par,8,4,0.0013
rust_par,8,4,0.0014
rust_par,8,8,0.0013
rust_par,8,8,0.0013
rust_par,8,8,0.0019
rust_par,8,8,0.0014
rust_par,8,8,0.0013
rust_par,8,16,0.0011
rust_par,8,16,0.0012
rust_par,8,16,0.0013
rust_par,8,16,0.0011
rust_par,8,16,0.0014
rust_seq,9,1,0.0361
rust_seq,9,1,0.0348
rust_seq,9,1,0.0358
rust_seq,9,1,0.0348
rust_seq,9,1,0.0343
rust_seq,9,1,0.0344
rust_seq,9,1,0.0351
rust_seq,9,1,0.0358
rust_seq,9,1,0.0360
rust_seq,9,1,0.0347
rust_par,9,2,0.0215
rust_par,9,2,0.0194
rust_par,9,2,0.0208
rust_par,9,2,0.0205
rust_par,9,2,0.0216
rust_par,9,4,0.0130
rust_par,9,4,0.0152
rust_par,9,4,0.0132
rust_par,9,4,0.0138
rust_par,9,4,0.0130
rust_par,9,8,0.0089
rust_par,9,8,0.0089
rust_par,9,8,0.0127
rust_par,9,8,0.0145
rust_par,9,8,0.0114
rust_par,9,16,0.0072
rust_par,9,16,0.0104
rust_par,9,16,0.0090
rust_par,9,16,0.0092
rust_par,9,16,0.0095
rust_seq,10,1,0.3181
rust_seq,10,1,0.3399
rust_seq,10,1,0.3443
rust_seq,10,1,0.3436
rust_seq,10,1,0.3454
rust_seq,10,1,0.3432
rust_seq,10,1,0.3434
rust_seq,10,1,0.3621
rust_seq,10,1,0.3521
rust_seq,10,1,0.3581
rust_par,10,2,0.1855
rust_par,10,2,0.1841
rust_par,10,2,0.1831
rust_par,10,2,0.1857
rust_par,10,2,0.1952
rust_par,10,4,0.1188
rust_par,10,4,0.1224
rust_par,10,4,0.1190
rust_par,10,4,0.1189
rust_par,10,4,0.1236
rust_par,10,8,0.0819
rust_par,10,8,0.0871
rust_par,10,8,0.0938
rust_par,10,8,0.0863
rust_par,10,8,0.0862
rust_par,10,16,0.0884
rust_par,10,16,0.0672
rust_par,10,16,0.0651
rust_par,10,16,0.0638
rust_par,10,16,0.0839
rust_seq,11,1,3.8657
rust_seq,11,1,3.9166
rust_seq,11,1,3.7943
rust_seq,11,1,3.8064
rust_seq,11,1,3.8241
rust_seq,11,1,3.8097
rust_seq,11,1,3.4831
rust_seq,11,1,3.8030
rust_seq,11,1,3.8608
rust_seq,11,1,3.4909
rust_par,11,2,2.0481
rust_par,11,2,2.1871
rust_par,11,2,2.0335
rust_par,11,2,2.0030
rust_par,11,2,2.0200
rust_par,11,4,1.1977
rust_par,11,4,1.2016
rust_par,11,4,1.1740
rust_par,11,4,1.2207
rust_par,11,4,1.3139
rust_par,11,8,0.8983
rust_par,11,8,0.8331
rust_par,11,8,0.9430
rust_par,11,8,0.8566
rust_par,11,8,0.8621
rust_par,11,16,0.5998
rust_par,11,16,0.6080
rust_par,11,16,1.1512
rust_par,11,16,0.6141
rust_par,11,16,1.3119
