implementation,size,threads,time
python_par,8,1,0.1112
python_par,8,1,0.0950
python_par,8,1,0.0960
python_par,8,1,0.0950
python_par,8,1,0.0998
python_par,8,1,0.0965
python_par,8,1,0.0979
python_par,8,1,0.0990
python_par,8,1,0.0989
python_par,8,1,0.0974
python_par,8,1,0.0976
python_par,8,1,0.0954
python_par,8,1,0.0960
python_par,8,1,0.1000
python_par,8,1,0.0990
python_par,8,1,0.0980
python_par,8,1,0.0963
python_par,8,1,0.0955
python_par,8,1,0.0970
python_par,8,1,0.0971
python_par,8,1,0.0956
python_par,8,1,0.0960
python_par,8,1,0.0985
python_par,8,1,0.1080
python_par,8,1,0.0994
python_par,8,1,0.0980
python_par,8,1,0.0944
python_par,8,1,0.0982
python_par,8,1,0.1000
python_par,8,1,0.0960
python_par,9,4,0.1440
python_par,9,4,0.1430
python_par,9,4,0.1430
python_par,9,4,0.1470
python_par,9,4,0.1440
python_par,9,4,0.1450
python_par,9,4,0.1430
python_par,9,4,0.1412
python_par,9,4,0.1460
python_par,9,4,0.1460
python_par,9,4,0.1441
python_par,9,4,0.1410
python_par,9,4,0.1447
python_par,9,4,0.1430
python_par,9,4,0.1453
python_par,9,4,0.1406
python_par,9,4,0.1420
python_par,9,4,0.1440
python_par,9,4,0.1440
python_par,9,4,0.1420
python_par,9,4,0.1420
python_par,9,4,0.1430
python_par,9,4,0.1475
python_par,9,4,0.1650
python_par,9,4,0.1460
python_par,9,4,0.1464
python_par,9,4,0.1425
python_par,9,4,0.1482
python_par,9,4,0.1500
python_par,9,4,0.1540
python_par,9,8,0.1530
python_par,9,8,0.1480
python_par,9,8,0.1420
python_par,9,8,0.1461
python_par,9,8,0.1460
python_par,9,8,0.1410
python_par,9,8,0.1401
python_par,9,8,0.1430
python_par,9,8,0.1450
python_par,9,8,0.1410
python_par,9,8,0.1450
python_par,9,8,0.1440
python_par,9,8,0.1490
python_par,9,8,0.1520
python_par,9,8,0.1430
python_par,9,8,0.1440
python_par,9,8,0.1463
python_par,9,8,0.1462
python_par,9,8,0.1420
python_par,9,8,0.1430
python_par,9,8,0.1400
python_par,9,8,0.1409
python_par,9,8,0.1570
python_par,9,8,0.1450
python_par,9,8,0.1400
python_par,9,8,0.1420
python_par,9,8,0.1450
python_par,9,8,0.1536
python_par,9,8,0.1435
python_par,9,8,0.1410
