implementation,size,threads,time
rust_par,8,1,0.0039
rust_par,8,1,0.0041
rust_par,8,1,0.0040
rust_par,8,1,0.0039
rust_par,8,1,0.0039
rust_par,8,1,0.0040
rust_par,8,1,0.0038
rust_par,8,1,0.0038
rust_par,8,1,0.0045
rust_par,8,1,0.0040
rust_par,8,1,0.0042
rust_par,8,1,0.0039
rust_par,8,1,0.0047
rust_par,8,1,0.0038
rust_par,8,1,0.0042
rust_par,8,1,0.0039
rust_par,8,1,0.0038
rust_par,8,1,0.0040
rust_par,8,1,0.0045
rust_par,8,1,0.0039
rust_par,8,1,0.0043
rust_par,8,1,0.0042
rust_par,8,1,0.0038
rust_par,8,1,0.0040
rust_par,8,1,0.0041
rust_par,8,1,0.0049
rust_par,8,1,0.0041
rust_par,8,1,0.0039
rust_par,8,1,0.0044
rust_par,8,1,0.0036
rust_par,9,4,0.0124
rust_par,9,4,0.0124
rust_par,9,4,0.0124
rust_par,9,4,0.0123
rust_par,9,4,0.0129
rust_par,9,4,0.0127
rust_par,9,4,0.0126
rust_par,9,4,0.0123
rust_par,9,4,0.0131
rust_par,9,4,0.0124
rust_par,9,4,0.0132
rust_par,9,4,0.0135
rust_par,9,4,0.0123
rust_par,9,4,0.0128
rust_par,9,4,0.0125
rust_par,9,4,0.0124
rust_par,9,4,0.0123
rust_par,9,4,0.0123
rust_par,9,4,0.0127
rust_par,9,4,0.0126
rust_par,9,4,0.0128
rust_par,9,4,0.0127
rust_par,9,4,0.0123
rust_par,9,4,0.0172
rust_par,9,4,0.0127
rust_par,9,4,0.0123
rust_par,9,4,0.0126
rust_par,9,4,0.0131
rust_par,9,4,0.0124
rust_par,9,4,0.0124
rust_par,9,8,0.0091
rust_par,9,8,0.0087
rust_par,9,8,0.0121
rust_par,9,8,0.0090
rust_par,9,8,0.0086
rust_par,9,8,0.0107
rust_par,9,8,0.0088
rust_par,9,8,0.0088
rust_par,9,8,0.0096
rust_par,9,8,0.0086
rust_par,9,8,0.0092
rust_par,9,8,0.0087
rust_par,9,8,0.0112
rust_par,9,8,0.0110
rust_par,9,8,0.0092
rust_par,9,8,0.0091
rust_par,9,8,0.0087
rust_par,9,8,0.0088
rust_par,9,8,0.0092
rust_par,9,8,0.0105
rust_par,9,8,0.0085
rust_par,9,8,0.0107
rust_par,9,8,0.0139
rust_par,9,8,0.0090
rust_par,9,8,0.0128
rust_par,9,8,0.0087
rust_par,9,8,0.0086
rust_par,9,8,0.0134
rust_par,9,8,0.0091
rust_par,9,8,0.0140
